day,left_side,right_side,price_l,price_r,ratio,euclidian,correl_t1,correl_t2,correl_t3,beta_t1,interc_t1,pvalue_t1,half_t1,sprd_last_t1,sprd_mean_t1,sprd_sd_t1,beta_t2,interc_t2,pvalue_t2,half_t2,sprd_last_t2,sprd_mean_t2,sprd_sd_t2,beta_t3,interc_t3,pvalue_t3,half_t3,sprd_last_t3,sprd_mean_t3,sprd_sd_t3,econ_rel,MCap_Classe,Setor,Subsetor,Segmento,Diffs
2019-06-07,CESP6,YDUQ3,22.904087,28.45108,1.2421835456702552,8.116384066384278,0.7664001038732396,0.33926192282761203,0.5308267589525061,0.8498574495405563,-3.4270770051000157,0.2150061465707545,53.055546028231824,2.1518017196256776,3.5762191818999867e-16,2.095544348764589,0.33629746517062903,10.853848398501025,0.5146680821012452,132.07521075812372,2.482212516132188,-1.4148057725371645e-16,1.7903336513494827,0.4493135972416094,9.691979140027701,0.043714238575201125,34.27331059570059,0.42865075976349104,-2.8947655904276726e-17,0.6711953300416554,0,Diff,Diff,Diff,Diff,4
2019-06-10,CESP6,YDUQ3,22.861876,28.837513,1.2613799934878487,8.076168969317616,0.7710293260941965,0.3405665959106453,0.5735175474720007,0.8544612604024527,-3.516507555525996,0.2117029983676822,53.4067332548159,1.7378458506738714,-2.2761219992117886e-16,2.088288739408205,0.33610211290518754,10.899080929727743,0.5184515202656627,124.24750183221582,2.27044602004144,-8.704148513061228e-17,1.785410494962295,0.4202872493401649,10.513796028706253,0.2217580733188622,15.766875661955577,0.22804095471249464,-4.466831635477342e-17,0.5894754376020206,0,Diff,Diff,Diff,Diff,4
2019-06-11,CESP6,YDUQ3,22.84499,28.499384,1.247511336183557,8.041068550003896,0.7754129314210919,0.3358210831759104,0.5740822498228566,0.8594463210695228,-3.613903787648891,0.22781856894726496,49.84229973258176,1.9652030561012674,3.549591176543743e-16,2.0813847897766187,0.3322184127431647,11.038537187606268,0.5072163450266566,118.43592950148009,2.3384326957557824,-1.6530180002582996e-16,1.785247748758107,0.39072368132065943,11.338355253967297,0.3943820644109839,13.069110446846363,0.3712505141815986,-3.324489121492302e-17,0.5545767925384868,0,Diff,Diff,Diff,Diff,4
2019-06-12,CESP6,YDUQ3,22.794338,28.112951,1.2333304437268588,8.046397943927778,0.7780594932962857,0.3306129161404599,0.5706208577099828,0.8626879097103909,-3.6717695524239513,0.23384029362959702,47.43746652979171,2.213404618443294,1.2146273570268207e-16,2.079596311027428,0.3282186889247745,11.180794095096205,0.4943026139887663,114.0618288073983,2.386347985877362,2.738503868116027e-16,1.7866331387643302,0.3842736717631125,11.533656120276799,0.38462339461354234,13.039993382730158,0.4576149748567335,2.6142282782970483e-17,0.5500155802006514,0,Diff,Diff,Diff,Diff,4
2019-06-13,CESP6,YDUQ3,22.861876,28.982422,1.267718449702028,8.051931321301335,0.7803829056075019,0.3306668076863703,0.5854216121731053,0.8645003901279409,-3.7015276879030896,0.23007131160487912,47.74211523180356,1.508088562050465,1.6289400384117414e-16,2.07852568279521,0.3282375045488477,11.214782516456408,0.4681302098261876,112.11829595457937,2.133975610481966,1.3701192957960018e-16,1.7865568712027362,0.37779860721190506,11.725701555172956,0.39879328564250494,13.035847563988948,0.1866557795993702,1.1862255969163904e-17,0.5404228309980416,0,Diff,Diff,Diff,Diff,4
2019-06-14,CESP6,YDUQ3,22.62549,28.383453,1.2544900906013527,8.072760663613764,0.7815817459021916,0.324475744107863,0.5857230297474544,0.8662292349758531,-3.730174983931396,0.2270519719362047,47.20705930581034,1.7690882057683046,-2.2825925177771824e-16,2.0797428718117974,0.3244457728563054,11.345388741319749,0.4658653850534117,115.38177157012395,2.071209913764626,-2.52135118339325e-16,1.7892414472346665,0.36766527867091364,12.01569305632433,0.34899288363951847,14.820058749521385,0.17418678678789298,3.2694116511300387e-18,0.5310929618666136,0,Diff,Diff,Diff,Diff,4
2019-06-17,CESP6,YDUQ3,22.895645,27.832787,1.2156367291683638,8.118039376157784,0.7824865264063627,0.3134957427568619,0.6078073408580941,0.8689128309530839,-3.778644219468829,0.2219908174095287,45.21571808923389,2.4900234739846274,-3.386995545140437e-16,2.083841426257146,0.3177554289124234,11.555929851036224,0.4136349155618958,101.28259642128297,2.495695977950649,-6.838626886995768e-17,1.7963175380523846,0.3763854617259568,11.814631705171426,0.3131475058592899,11.382889915194516,0.6051569087133705,-1.8774044818758994e-17,0.5175547323004676,0,Diff,Diff,Diff,Diff,4
2019-06-18,CESP6,YDUQ3,22.836548,27.649233,1.2107448551330962,8.169017078734369,0.7831349144133538,0.30169981020689457,0.6284924853130717,0.8715716466770489,-3.8268008020665683,0.22792941966324864,45.42788881211685,2.565061266899161,2.6026923671818025e-16,2.088628316997623,0.310080707472358,11.792251218893291,0.38029816752703727,102.50541434854772,2.4708030513986383,-1.1497747198774278e-16,1.803352706002202,0.3878884423484486,11.535560222481832,0.18309010500569092,12.33390654223148,0.57616985701885,-2.1883536649447422e-17,0.5076731551249264,0,Diff,Diff,Diff,Diff,4
2019-06-19,CESP6,YDUQ3,22.62549,28.190239,1.2459504302448257,8.192405280322903,0.7843537615938322,0.2925479150329486,0.6658581454219107,0.8732868497671088,-3.8540702230364956,0.22132154389542558,46.559492906002895,1.861395212544591,8.99488816763494e-17,2.089580494054345,0.3042820718571352,11.97526671244767,0.4359346767013861,124.24055950369839,2.072438958484508,-1.1823528267562722e-16,1.8070631003157336,0.39571188902083443,11.352714934395419,0.15040138577062023,10.070184795144613,0.11756233896578841,-2.2692351470121607e-18,0.47560713285026307,0,Diff,Diff,Diff,Diff,4
2019-06-21,CESP6,YDUQ3,22.583279,28.837513,1.2769409172157862,8.201022424312757,0.7856415437686564,0.2861380160607376,0.6821208607816507,0.8739060973526764,-3.8577516964258414,0.22660738739955677,47.19579460848362,1.239752253238756,-2.4233653278527e-16,2.088774962331298,0.2991774542977366,12.13998257449984,0.4941255378495144,145.2523537001762,1.8157626978822665,1.504959351583679e-16,1.8066873686917468,0.38046532764677143,11.781908033366106,0.246713047461639,8.59947443816614,-0.1703028654291246,-1.969453246319919e-17,0.4501210758633104,0,Diff,Diff,Diff,Diff,4
